Part1_ID,Part2_ID,Shape,Length,Direction,Position,Duration
P101,P102,0.9809653841455795,0.6388958191314904,0.9720253133191512,0.9438261817489023,0.42019340166454733
P101,P103,0.9791357795728594,0.6399395567273807,0.9690744476638661,0.9338266272174843,0.34946479050689605
P101,P201,0.9800212361342097,0.6082031972162887,0.9694033146947931,0.9350461118696431,0.4416311942548664
P101,P202,0.9841443621104374,0.7308799169631766,0.9768905515343919,0.9230204102566205,0.40914638366766165
P101,P205,0.9821714349534557,0.7802240668389195,0.9801595199837985,0.9211165851265075,0.35698596044148834
P102,P103,0.9810508297869291,0.752146587689424,0.9790776352546158,0.9402651754990421,0.3523917564209982
P102,P201,0.9802325066934259,0.8057162319481707,0.9788434005050466,0.9275220738038764,0.3710495653260013
P102,P202,0.9819282043157423,0.7861132213170281,0.9804352162431766,0.9377754511798589,0.35169089988871427
P102,P205,0.982517200294979,0.6141094377850579,0.9759939004628834,0.9179663667762551,0.38237462979601344
P103,P201,0.9800664121932687,0.777690746524943,0.9786360442516143,0.9219398348486968,0.3141190090696161
P103,P202,0.981522974810931,0.748512106591529,0.9788096160351697,0.9182759772643118,0.39337637426357075
P103,P205,0.9793706126007656,0.6119275167137187,0.9700991397613636,0.9193809142059499,0.36269964460453386
P201,P202,0.9804171007266573,0.7717578911210909,0.9781980559988774,0.9263586072151732,0.3755865290544428
P201,P205,0.9789110635399626,0.728985303074465,0.9710189046247331,0.9167656374062586,0.36926426194321693
P202,P205,0.985636010861315,0.7657144317623329,0.9814817397409592,0.9072594598836364,0.33729833271421383
